DATE,BCI
01/01/1950,101.1161
01/02/1950,101.6632
01/03/1950,102.3925
01/04/1950,103.4315
01/05/1950,104.479
01/06/1950,105.0952
01/07/1950,105.1185
01/08/1950,104.4695
01/09/1950,103.3279
01/10/1950,102.4043
01/11/1950,102.3749
01/12/1950,102.8318
01/01/1951,103.1777
01/02/1951,103.055
01/03/1951,102.1555
01/04/1951,100.6755
01/05/1951,99.37305
01/06/1951,98.3875
01/07/1951,97.9213
01/08/1951,98.07285
01/09/1951,98.5489
01/10/1951,98.84554
01/11/1951,98.76978
01/12/1951,98.47536
01/01/1952,98.00651
01/02/1952,97.43722
01/03/1952,96.94099
01/04/1952,96.71727
01/05/1952,97.08869
01/06/1952,97.99315
01/07/1952,99.23314
01/08/1952,100.4137
01/09/1952,100.8109
01/10/1952,100.8735
01/11/1952,100.8728
01/12/1952,100.8618
01/01/1953,100.8096
01/02/1953,100.3897
01/03/1953,99.83143
01/04/1953,99.452
01/05/1953,99.12925
01/06/1953,98.8138
01/07/1953,98.36416
01/08/1953,97.77349
01/09/1953,97.13153
01/10/1953,96.59458
01/11/1953,96.29587
01/12/1953,96.26177
01/01/1954,96.59973
01/02/1954,97.24411
01/03/1954,98.01733
01/04/1954,98.71695
01/05/1954,99.22932
01/06/1954,99.49492
01/07/1954,99.52805
01/08/1954,99.59467
01/09/1954,100.0905
01/10/1954,100.7871
01/11/1954,101.4228
01/12/1954,102.0472
01/01/1955,102.5192
01/02/1955,102.9905
01/03/1955,103.2567
01/04/1955,103.3498
01/05/1955,103.2055
01/06/1955,102.8363
01/07/1955,102.6531
01/08/1955,102.4599
01/09/1955,102.2797
01/10/1955,102.2377
01/11/1955,102.2094
01/12/1955,102.1505
01/01/1956,101.7486
01/02/1956,101.28
01/03/1956,100.8148
01/04/1956,100.2416
01/05/1956,99.51138
01/06/1956,98.92268
01/07/1956,98.80948
01/08/1956,99.35426
01/09/1956,99.92525
01/10/1956,100.1499
01/11/1956,100.2306
01/12/1956,100.0996
01/01/1957,99.84776
01/02/1957,99.34579
01/03/1957,98.69584
01/04/1957,98.15686
01/05/1957,98.01878
01/06/1957,98.16599
01/07/1957,98.28196
01/08/1957,98.25628
01/09/1957,98.02428
01/10/1957,97.50412
01/11/1957,96.93954
01/12/1957,96.37817
01/01/1958,96.0809
01/02/1958,96.28517
01/03/1958,96.74854
01/04/1958,97.38678
01/05/1958,98.38697
01/06/1958,99.41399
01/07/1958,100.273
01/08/1958,100.9466
01/09/1958,101.4671
01/10/1958,101.8196
01/11/1958,101.9758
01/12/1958,102.0951
01/01/1959,102.4579
01/02/1959,102.8579
01/03/1959,103.1042
01/04/1959,103.1756
01/05/1959,103.0186
01/06/1959,102.4313
01/07/1959,101.5091
01/08/1959,100.3891
01/09/1959,99.52982
01/10/1959,99.41222
01/11/1959,99.89156
01/12/1959,100.6254
01/01/1960,100.7937
01/02/1960,100.0498
01/03/1960,99.08378
01/04/1960,98.32677
01/05/1960,97.91943
01/06/1960,97.91466
01/07/1960,98.08647
01/08/1960,98.33377
01/09/1960,98.35333
01/10/1960,98.25712
01/11/1960,98.06499
01/12/1960,97.93394
01/01/1961,97.97331
01/02/1961,98.37594
01/03/1961,99.29001
01/04/1961,100.35
01/05/1961,100.9818
01/06/1961,101.2272
01/07/1961,101.4001
01/08/1961,101.6636
01/09/1961,101.8799
01/10/1961,101.9003
01/11/1961,101.8593
01/12/1961,101.9767
01/01/1962,101.8889
01/02/1962,101.6847
01/03/1962,101.2615
01/04/1962,100.5733
01/05/1962,99.94375
01/06/1962,99.5347
01/07/1962,99.33293
01/08/1962,99.24887
01/09/1962,99.36269
01/10/1962,99.67583
01/11/1962,100.108
01/12/1962,100.4502
01/01/1963,100.5085
01/02/1963,100.5164
01/03/1963,100.6322
01/04/1963,100.9096
01/05/1963,101.0931
01/06/1963,100.9832
01/07/1963,100.741
01/08/1963,100.643
01/09/1963,100.7251
01/10/1963,100.7918
01/11/1963,100.7331
01/12/1963,100.6355
01/01/1964,100.7955
01/02/1964,101.0422
01/03/1964,101.2641
01/04/1964,101.3398
01/05/1964,101.4258
01/06/1964,101.6595
01/07/1964,101.9621
01/08/1964,102.1153
01/09/1964,102.0793
01/10/1964,101.9284
01/11/1964,101.8871
01/12/1964,101.9044
01/01/1965,101.9394
01/02/1965,102.0764
01/03/1965,102.18
01/04/1965,102.0014
01/05/1965,101.6963
01/06/1965,101.3601
01/07/1965,101.1779
01/08/1965,101.1841
01/09/1965,101.3122
01/10/1965,101.3881
01/11/1965,101.645
01/12/1965,102.1156
01/01/1966,102.5525
01/02/1966,102.7112
01/03/1966,102.5785
01/04/1966,102.147
01/05/1966,101.5923
01/06/1966,101.3722
01/07/1966,101.3397
01/08/1966,101.2522
01/09/1966,101.0914
01/10/1966,100.7522
01/11/1966,100.2477
01/12/1966,99.71613
01/01/1967,99.14896
01/02/1967,98.6347
01/03/1967,98.19431
01/04/1967,97.96303
01/05/1967,98.12083
01/06/1967,98.56949
01/07/1967,99.15171
01/08/1967,99.71227
01/09/1967,100.1144
01/10/1967,100.2777
01/11/1967,100.3747
01/12/1967,100.4901
01/01/1968,100.5458
01/02/1968,100.4963
01/03/1968,100.4942
01/04/1968,100.5852
01/05/1968,100.4442
01/06/1968,100.2155
01/07/1968,100.0549
01/08/1968,99.95989
01/09/1968,100.0627
01/10/1968,100.4153
01/11/1968,100.687
01/12/1968,100.6985
01/01/1969,100.6601
01/02/1969,100.717
01/03/1969,100.7215
01/04/1969,100.6415
01/05/1969,100.5788
01/06/1969,100.4271
01/07/1969,100.2675
01/08/1969,100.2546
