DATE,bank_credits
03/01/1973,567.2553
10/01/1973,565.5054
17/01/1973,565.3477
24/01/1973,565.1737
31/01/1973,569.7089
07/02/1973,571.2254
14/02/1973,573.5717
21/02/1973,574.7042
28/02/1973,577.518
07/03/1973,581.5757
14/03/1973,582.7181
21/03/1973,584.2137
28/03/1973,586.1701
04/04/1973,587.5392
11/04/1973,589.1442
18/04/1973,589.1377
25/04/1973,591.1341
02/05/1973,593.4399
09/05/1973,594.5321
16/05/1973,594.4818
23/05/1973,595.4865
30/05/1973,598.963
06/06/1973,601.5
13/06/1973,602.8771
20/06/1973,603.5501
27/06/1973,605.4626
04/07/1973,606.8473
11/07/1973,609.9411
18/07/1973,608.9051
25/07/1973,610.7133
01/08/1973,613.3477
08/08/1973,614.9775
15/08/1973,618.6221
22/08/1973,615.5519
29/08/1973,616.2351
05/09/1973,620.4894
12/09/1973,621.1427
19/09/1973,620.4723
26/09/1973,622.0711
03/10/1973,623.3404
10/10/1973,626.2011
17/10/1973,623.7863
24/10/1973,625.8254
31/10/1973,627.4142
07/11/1973,632.1742
14/11/1973,629.6947
21/11/1973,631.272
28/11/1973,631.6332
05/12/1973,636.3865
12/12/1973,638.7466
19/12/1973,640.099
26/12/1973,645.2428
02/01/1974,644.9049
09/01/1974,643.2164
16/01/1974,644.2714
23/01/1974,645.1132
30/01/1974,645.0434
06/02/1974,647.3202
13/02/1974,646.7248
20/02/1974,648.1402
27/02/1974,649.7123
06/03/1974,654.7801
13/03/1974,655.7101
20/03/1974,657.4908
27/03/1974,660.8952
03/04/1974,666.7548
10/04/1974,668.9034
17/04/1974,671.3413
24/04/1974,670.7133
01/05/1974,674.2538
08/05/1974,673.7612
15/05/1974,675.6747
22/05/1974,674.9901
29/05/1974,676.3028
05/06/1974,679.3084
12/06/1974,681.1222
19/06/1974,682.6979
26/06/1974,683.8853
03/07/1974,686.078
10/07/1974,686.1277
17/07/1974,686.2906
24/07/1974,686.3538
31/07/1974,690.3408
07/08/1974,691.0397
14/08/1974,690.9209
21/08/1974,690.7183
28/08/1974,692.2409
04/09/1974,692.9515
11/09/1974,695.0395
18/09/1974,694.152
25/09/1974,691.9667
02/10/1974,692.5638
09/10/1974,693.7354
16/10/1974,693.917
23/10/1974,693.2164
30/10/1974,693.5605
06/11/1974,694.599
13/11/1974,696.7992
20/11/1974,696.5027
27/11/1974,696.6358
04/12/1974,700.3472
11/12/1974,701.414
18/12/1974,703.4548
25/12/1974,704.0068
01/01/1975,707.1556
08/01/1975,703.5225
15/01/1975,701.7357
22/01/1975,698.1405
29/01/1975,696.8606
05/02/1975,697.2
12/02/1975,693.9701
19/02/1975,697.3089
26/02/1975,696.0499
05/03/1975,700.4742
12/03/1975,700.9701
19/03/1975,700.7331
26/03/1975,699.6054
02/04/1975,700.431
09/04/1975,703.3214
16/04/1975,705.2144
23/04/1975,702.9919
30/04/1975,704.9045
07/05/1975,705.2927
14/05/1975,704.2365
21/05/1975,704.6976
28/05/1975,705.0104
04/06/1975,706.0105
11/06/1975,709.2187
18/06/1975,710.1087
25/06/1975,708.7019
02/07/1975,709.4179
09/07/1975,710.0552
16/07/1975,708.9294
23/07/1975,709.0077
30/07/1975,709.613
06/08/1975,711.0877
13/08/1975,711.468
20/08/1975,712.7599
27/08/1975,712.043
03/09/1975,714.971
10/09/1975,716.8982
17/09/1975,717.3362
24/09/1975,717.0995
01/10/1975,720.3392
08/10/1975,720.4281
15/10/1975,720.0774
22/10/1975,720.0509
29/10/1975,719.4138
05/11/1975,720.9696
12/11/1975,721.0585
19/11/1975,721.2255
26/11/1975,726.6598
03/12/1975,726.9881
10/12/1975,730.2733
17/12/1975,733.5308
24/12/1975,734.3924
31/12/1975,738.2839
07/01/1976,730.5494
14/01/1976,730.6658
21/01/1976,729.2212
28/01/1976,729.9663
04/02/1976,731.0805
11/02/1976,730.456
18/02/1976,733.2271
25/02/1976,731.92
03/03/1976,734.0081
10/03/1976,737.6557
17/03/1976,738.9317
24/03/1976,739.5316
31/03/1976,740.1142
07/04/1976,741.5661
14/04/1976,743.5574
21/04/1976,745.7793
28/04/1976,744.6244
05/05/1976,744.3747
12/05/1976,745.082
19/05/1976,748.3544
26/05/1976,748.2618
02/06/1976,752.1742
09/06/1976,752.7434
16/06/1976,753.896
23/06/1976,752.8462
30/06/1976,757.8391
07/07/1976,752.8198
14/07/1976,754.5687
21/07/1976,755.0462
28/07/1976,754.2612
04/08/1976,755.655
11/08/1976,758.2642
18/08/1976,760.461
25/08/1976,760.4326
01/09/1976,761.958
08/09/1976,760.1676
15/09/1976,764.3446
22/09/1976,765.9532
29/09/1976,767.2831
06/10/1976,770.273
