DATE,consumer_loans
28/06/2000,211.4984
05/07/2000,212.0107
12/07/2000,210.8742
19/07/2000,212.5366
26/07/2000,211.7856
02/08/2000,212.4495
09/08/2000,214.5759
16/08/2000,218.6144
23/08/2000,220.4691
30/08/2000,218.8658
06/09/2000,219.8818
13/09/2000,219.3802
20/09/2000,225.9879
27/09/2000,224.8151
04/10/2000,220.3899
11/10/2000,219.1603
18/10/2000,222.0012
25/10/2000,221.2804
01/11/2000,219.9623
08/11/2000,217.4743
15/11/2000,222.6617
22/11/2000,224.2269
29/11/2000,225.5697
06/12/2000,223.1558
13/12/2000,223.6603
20/12/2000,229.1973
27/12/2000,233.0731
03/01/2001,232.9707
10/01/2001,228.9171
17/01/2001,231.8895
24/01/2001,232.1858
31/01/2001,229.9494
07/02/2001,227.7247
14/02/2001,230.4895
21/02/2001,231.9318
28/02/2001,228.2247
07/03/2001,226.9763
14/03/2001,227.1582
21/03/2001,228.2073
28/03/2001,230.1571
04/04/2001,228.7818
11/04/2001,229.9442
18/04/2001,232.9681
25/04/2001,233.9747
02/05/2001,234.7593
09/05/2001,232.9688
16/05/2001,236.7203
23/05/2001,237.5545
30/05/2001,235.6916
06/06/2001,233.9898
13/06/2001,232.1956
20/06/2001,233.0688
27/06/2001,234.8839
04/07/2001,230.662
11/07/2001,230.1049
18/07/2001,232.1408
25/07/2001,234.0398
01/08/2001,231.7478
08/08/2001,231.1125
15/08/2001,233.7186
22/08/2001,236.2403
29/08/2001,234.1255
05/09/2001,233.5685
12/09/2001,232.0061
19/09/2001,235.912
26/09/2001,231.6399
03/10/2001,230.2335
10/10/2001,228.5542
17/10/2001,235.265
24/10/2001,235.9796
31/10/2001,235.5588
07/11/2001,236.1648
14/11/2001,236.3912
21/11/2001,241.1495
28/11/2001,243.0663
05/12/2001,239.285
12/12/2001,240.1544
19/12/2001,241.41
26/12/2001,245.5466
02/01/2002,242.227
09/01/2002,241.0718
16/01/2002,241.5572
23/01/2002,241.9617
30/01/2002,240.2171
06/02/2002,243.0568
13/02/2002,237.3489
20/02/2002,241.1857
27/02/2002,241.4786
06/03/2002,240.0633
13/03/2002,236.7394
20/03/2002,241.6321
27/03/2002,242.9579
03/04/2002,240.781
10/04/2002,241.5307
17/04/2002,248.7878
24/04/2002,249.5651
01/05/2002,245.6669
08/05/2002,245.2449
15/05/2002,246.2864
22/05/2002,243.3034
29/05/2002,246.037
05/06/2002,240.5795
12/06/2002,241.2747
19/06/2002,248.0341
26/06/2002,245.8855
03/07/2002,237.1364
10/07/2002,236.2777
17/07/2002,240.1605
24/07/2002,242.0059
31/07/2002,242.7704
07/08/2002,243.9738
14/08/2002,246.9701
21/08/2002,251.6259
28/08/2002,254.3968
04/09/2002,254.5682
11/09/2002,253.6802
18/09/2002,257.5604
25/09/2002,256.2303
02/10/2002,254.7257
09/10/2002,252.4626
16/10/2002,257.7711
23/10/2002,257.3218
30/10/2002,256.1896
06/11/2002,251.4465
13/11/2002,251.0751
20/11/2002,252.3426
27/11/2002,253.4292
04/12/2002,252.0311
11/12/2002,254.0004
18/12/2002,256.8889
25/12/2002,256.2122
01/01/2003,254.1186
08/01/2003,252.0347
15/01/2003,251.7431
22/01/2003,252.6573
29/01/2003,249.7486
05/02/2003,244.8187
12/02/2003,244.6304
19/02/2003,249.3678
26/02/2003,249.2907
05/03/2003,246.0011
12/03/2003,241.5903
19/03/2003,246.4682
26/03/2003,243.6968
02/04/2003,240.8543
09/04/2003,239.3809
16/04/2003,239.4778
23/04/2003,240.1761
30/04/2003,240.3384
07/05/2003,245.6499
14/05/2003,247.8173
21/05/2003,248.8825
28/05/2003,252.5367
04/06/2003,244.51
11/06/2003,244.4137
18/06/2003,247.807
25/06/2003,244.2278
02/07/2003,244.6149
09/07/2003,243.1939
16/07/2003,245.7004
23/07/2003,246.7736
30/07/2003,248.7564
06/08/2003,243.7614
13/08/2003,244.3882
20/08/2003,247.4767
27/08/2003,246.6949
03/09/2003,244.7413
10/09/2003,243.7473
17/09/2003,246.2026
24/09/2003,244.4942
01/10/2003,240.6546
08/10/2003,238.6246
15/10/2003,240.8811
22/10/2003,239.6185
29/10/2003,240.1106
05/11/2003,267.3027
12/11/2003,269.7558
19/11/2003,274.5773
26/11/2003,272.6055
03/12/2003,270.5052
10/12/2003,271.4163
17/12/2003,283.7202
24/12/2003,287.1398
31/12/2003,285.5602
07/01/2004,283.8796
14/01/2004,282.6611
21/01/2004,284.9815
28/01/2004,283.481
04/02/2004,279.6925
11/02/2004,278.5777
18/02/2004,285.6346
25/02/2004,283.8672
03/03/2004,278.0516
10/03/2004,277.3262
17/03/2004,279.6087
24/03/2004,282.7117
31/03/2004,278.9884
07/04/2004,279.6374
14/04/2004,281.123
21/04/2004,281.0937
28/04/2004,282.7293
05/05/2004,281.1923
12/05/2004,280.7163
19/05/2004,287.8018
26/05/2004,287.8777
02/06/2004,287.0785
09/06/2004,287.0663
16/06/2004,287.8907
23/06/2004,289.7743
30/06/2004,285.4123
07/07/2004,286.3757
14/07/2004,286.9859
21/07/2004,289.6067
28/07/2004,289.3184
04/08/2004,287.483
11/08/2004,286.6199
18/08/2004,291.5591
25/08/2004,294.0931
01/09/2004,292.383
08/09/2004,291.8599
15/09/2004,295.711
22/09/2004,296.6891
29/09/2004,293.251
06/10/2004,291.5599
13/10/2004,288.5711
20/10/2004,292.7792
27/10/2004,291.8973
03/11/2004,290.9955
10/11/2004,286.7926
17/11/2004,287.3907
24/11/2004,287.3666
01/12/2004,286.7669
08/12/2004,287.4469
15/12/2004,290.9606
22/12/2004,296.9349
29/12/2004,309.0006
05/01/2005,309.0221
12/01/2005,305.4378
19/01/2005,304.1594
26/01/2005,302.7418
02/02/2005,298.0653
09/02/2005,294.2591
16/02/2005,301.2313
23/02/2005,301.2587
02/03/2005,300.9477
