DATE,unemployment_claims
07/01/1967,1134000
14/01/1967,1119000
21/01/1967,1119000
28/01/1967,1103000
04/02/1967,1131000
11/02/1967,1153000
18/02/1967,1167000
25/02/1967,1199000
04/03/1967,1235000
11/03/1967,1234000
18/03/1967,1236000
25/03/1967,1268000
01/04/1967,1291000
08/04/1967,1273000
15/04/1967,1278000
22/04/1967,1277000
29/04/1967,1286000
06/05/1967,1308000
13/05/1967,1284000
20/05/1967,1265000
27/05/1967,1253000
03/06/1967,1265000
10/06/1967,1251000
17/06/1967,1248000
24/06/1967,1220000
01/07/1967,1193000
08/07/1967,1248000
15/07/1967,1258000
22/07/1967,1252000
29/07/1967,1280000
05/08/1967,1240000
12/08/1967,1215000
19/08/1967,1202000
26/08/1967,1180000
02/09/1967,1204000
09/09/1967,1189000
16/09/1967,1179000
23/09/1967,1178000
30/09/1967,1157000
07/10/1967,1165000
14/10/1967,1189000
21/10/1967,1174000
28/10/1967,1161000
04/11/1967,1176000
11/11/1967,1142000
18/11/1967,1133000
25/11/1967,1142000
02/12/1967,1150000
09/12/1967,1153000
16/12/1967,1188000
23/12/1967,1195000
30/12/1967,1167000
06/01/1968,1158000
13/01/1968,1187000
20/01/1968,1191000
27/01/1968,1157000
03/02/1968,1173000
10/02/1968,1175000
17/02/1968,1143000
24/02/1968,1165000
02/03/1968,1151000
09/03/1968,1147000
16/03/1968,1143000
23/03/1968,1136000
30/03/1968,1119000
06/04/1968,1079000
13/04/1968,1079000
20/04/1968,1059000
27/04/1968,1087000
04/05/1968,1079000
11/05/1968,1091000
18/05/1968,1071000
25/05/1968,1073000
01/06/1968,1063000
08/06/1968,1097000
15/06/1968,1071000
22/06/1968,1060000
29/06/1968,1038000
06/07/1968,1097000
13/07/1968,1076000
20/07/1968,1033000
27/07/1968,1036000
03/08/1968,1072000
10/08/1968,1088000
17/08/1968,1107000
24/08/1968,1094000
31/08/1968,1064000
07/09/1968,1067000
14/09/1968,1044000
21/09/1968,1047000
28/09/1968,1048000
05/10/1968,1060000
12/10/1968,1045000
19/10/1968,1035000
26/10/1968,1033000
02/11/1968,1028000
09/11/1968,1028000
16/11/1968,1076000
23/11/1968,1023000
30/11/1968,1056000
07/12/1968,1063000
14/12/1968,1061000
21/12/1968,1063000
28/12/1968,1116000
04/01/1969,1118000
11/01/1969,1099000
18/01/1969,1072000
25/01/1969,1077000
01/02/1969,1099000
08/02/1969,1088000
15/02/1969,1115000
22/02/1969,1092000
01/03/1969,1098000
08/03/1969,1099000
15/03/1969,1080000
22/03/1969,1071000
29/03/1969,1041000
05/04/1969,1076000
12/04/1969,1050000
19/04/1969,1025000
