DATE,credit_delinquency
01/01/1991,5.26
01/04/1991,5.48
01/07/1991,5.35
01/10/1991,5.32
01/01/1992,5.27
01/04/1992,5.1
01/07/1992,4.98
01/10/1992,4.69
01/01/1993,4.6
01/04/1993,4.46
01/07/1993,4.08
01/10/1993,3.91
01/01/1994,3.6
01/04/1994,3.29
01/07/1994,3.25
01/10/1994,3.29
01/01/1995,3.48
01/04/1995,3.7
01/07/1995,3.85
01/10/1995,3.95
01/01/1996,4.04
01/04/1996,4.27
01/07/1996,4.46
01/10/1996,4.6
01/01/1997,4.7
01/04/1997,4.73
01/07/1997,4.7
01/10/1997,4.81
01/01/1998,4.76
01/04/1998,4.76
01/07/1998,4.72
01/10/1998,4.74
01/01/1999,4.66
01/04/1999,4.58
01/07/1999,4.6
01/10/1999,4.55
01/01/2000,4.43
01/04/2000,4.51
01/07/2000,4.53
01/10/2000,4.57
01/01/2001,4.81
01/04/2001,4.94
01/07/2001,5
01/10/2001,4.69
01/01/2002,4.94
01/04/2002,4.78
01/07/2002,4.89
01/10/2002,4.84
01/01/2003,4.68
01/04/2003,4.53
01/07/2003,4.24
01/10/2003,4.43
01/01/2004,4.21
01/04/2004,4.15
01/07/2004,4.07
01/10/2004,4.03
01/01/2005,3.7
01/04/2005,3.67
01/07/2005,3.9
01/10/2005,3.54
01/01/2006,3.86
01/04/2006,4.13
01/07/2006,4.12
01/10/2006,3.95
01/01/2007,3.98
01/04/2007,4.02
01/07/2007,4.41
01/10/2007,4.6
01/01/2008,4.77
01/04/2008,4.9
01/07/2008,4.8
01/10/2008,5.64
01/01/2009,6.51
01/04/2009,6.77
01/07/2009,6.49
01/10/2009,6.33
01/01/2010,5.78
01/04/2010,5.1
01/07/2010,4.58
01/10/2010,4.14
01/01/2011,3.82
01/04/2011,3.65
01/07/2011,3.45
01/10/2011,3.25
01/01/2012,3.06
01/04/2012,2.92
01/07/2012,2.82
01/10/2012,2.71
01/01/2013,2.64
01/04/2013,2.53
01/07/2013,2.44
01/10/2013,2.38
01/01/2014,2.32
01/04/2014,2.26
01/07/2014,2.2
01/10/2014,2.15
01/01/2015,2.11
01/04/2015,2.12
01/07/2015,2.15
01/10/2015,2.16
01/01/2016,2.14
01/04/2016,2.21
01/07/2016,2.3
01/10/2016,2.37
01/01/2017,2.39
01/04/2017,2.48
01/07/2017,2.55
01/10/2017,2.49
01/01/2018,2.48
01/04/2018,2.5
01/07/2018,2.53
01/10/2018,2.55
01/01/2019,2.51
01/04/2019,2.59
01/07/2019,2.62
01/10/2019,2.62
01/01/2020,2.65
01/04/2020,2.45
01/07/2020,2.01
01/10/2020,2.11
01/01/2021,1.85
01/04/2021,1.6
01/07/2021,1.55
01/10/2021,1.57
01/01/2022,1.65
01/04/2022,1.85
01/07/2022,2.09
01/10/2022,2.25
