DATE,personal_saving_rate
01/01/1959,11.3
01/02/1959,10.6
01/03/1959,10.3
01/04/1959,11.2
01/05/1959,10.6
01/06/1959,10.5
01/07/1959,10.7
01/08/1959,9.6
01/09/1959,8.7
01/10/1959,9.4
01/11/1959,10.1
01/12/1959,11
01/01/1960,10.9
01/02/1960,10.6
01/03/1960,9.4
01/04/1960,8.4
01/05/1960,10.4
01/06/1960,10.4
01/07/1960,10.4
01/08/1960,10.3
01/09/1960,10
01/10/1960,9.8
01/11/1960,9.8
01/12/1960,10.4
01/01/1961,11.1
01/02/1961,11.1
01/03/1961,10.4
01/04/1961,10.6
01/05/1961,10.8
01/06/1961,11.5
01/07/1961,12
01/08/1961,11.7
01/09/1961,11.3
01/10/1961,11.7
01/11/1961,11.6
01/12/1961,11.6
01/01/1962,11.3
01/02/1962,11.8
01/03/1962,11.6
01/04/1962,11.7
01/05/1962,11.1
01/06/1962,11.5
01/07/1962,11.6
01/08/1962,11.4
01/09/1962,10.4
01/10/1962,11.3
01/11/1962,10.4
01/12/1962,10.3
01/01/1963,10.9
01/02/1963,10.7
01/03/1963,10.6
01/04/1963,10.7
01/05/1963,10.9
01/06/1963,10.5
01/07/1963,10.1
01/08/1963,10.2
01/09/1963,11
01/10/1963,11.5
01/11/1963,11
01/12/1963,10.7
01/01/1964,10.7
01/02/1964,10.4
01/03/1964,12.1
01/04/1964,12.4
01/05/1964,11.7
01/06/1964,11.5
01/07/1964,11.2
01/08/1964,11.1
01/09/1964,11.8
01/10/1964,11.2
01/11/1964,12.5
01/12/1964,12.5
01/01/1965,12.1
01/02/1965,10.7
01/03/1965,10.8
01/04/1965,10.2
01/05/1965,11.2
01/06/1965,12.1
01/07/1965,11.9
01/08/1965,11.7
01/09/1965,12.5
01/10/1965,10.9
01/11/1965,11.5
01/12/1965,11.7
01/01/1966,11.2
01/02/1966,11
01/03/1966,10.7
01/04/1966,10.3
01/05/1966,11.2
01/06/1966,11.4
01/07/1966,10.9
01/08/1966,11.2
01/09/1966,11
01/10/1966,11.6
01/11/1966,11.8
01/12/1966,11.6
01/01/1967,12.1
01/02/1967,12.6
01/03/1967,12.8
01/04/1967,11.9
01/05/1967,12
01/06/1967,11.9
01/07/1967,12.6
01/08/1967,12.6
01/09/1967,11.9
01/10/1967,12.9
01/11/1967,12.8
01/12/1967,11.8
01/01/1968,11.7
01/02/1968,12.3
01/03/1968,11.7
01/04/1968,12.3
01/05/1968,12
01/06/1968,11.7
01/07/1968,10.7
01/08/1968,10.5
01/09/1968,10.6
01/10/1968,10.8
01/11/1968,10.6
01/12/1968,11.1
01/01/1969,10.3
01/02/1969,9.7
01/03/1969,10.2
01/04/1969,9.7
01/05/1969,10.1
01/06/1969,11.1
01/07/1969,11.8
01/08/1969,11.5
01/09/1969,11.6
01/10/1969,11.4
01/11/1969,11.6
01/12/1969,11.8
01/01/1970,11.8
01/02/1970,11.7
01/03/1970,12.4
01/04/1970,13.3
01/05/1970,12.4
01/06/1970,12.3
01/07/1970,13.5
01/08/1970,13.4
01/09/1970,12.9
01/10/1970,13.1
01/11/1970,13.6
01/12/1970,13.2
01/01/1971,13.3
01/02/1971,13.3
01/03/1971,13.5
01/04/1971,13.2
01/05/1971,13.6
01/06/1971,14.7
01/07/1971,13.8
01/08/1971,13.6
01/09/1971,13.3
01/10/1971,13.3
01/11/1971,13.1
01/12/1971,13
01/01/1972,12.5
01/02/1972,12.8
01/03/1972,11.8
01/04/1972,11.5
01/05/1972,11.7
01/06/1972,11.7
01/07/1972,11.7
01/08/1972,12
01/09/1972,12.2
01/10/1972,13
01/11/1972,13.6
01/12/1972,13.7
01/01/1973,12.4
01/02/1973,12.5
01/03/1973,12.7
01/04/1973,13.2
01/05/1973,13.2
01/06/1973,13.6
01/07/1973,13.2
01/08/1973,13.9
01/09/1973,13.1
01/10/1973,14.4
01/11/1973,14.4
01/12/1973,14.8
01/01/1974,14.3
01/02/1974,14.2
01/03/1974,13.4
01/04/1974,13.1
01/05/1974,12.8
01/06/1974,12.8
01/07/1974,12.8
01/08/1974,12.1
01/09/1974,12.9
01/10/1974,13.4
01/11/1974,13.8
01/12/1974,14
01/01/1975,13.2
