DATE,commerical_real_estate_loan
17/06/1987,23.6395
24/06/1987,23.8921
01/07/1987,24.3404
08/07/1987,24.5816
15/07/1987,24.8821
22/07/1987,25.069
29/07/1987,25.3675
05/08/1987,25.6232
12/08/1987,25.9185
19/08/1987,26.1612
26/08/1987,26.4631
02/09/1987,26.7269
09/09/1987,27.1653
16/09/1987,27.2919
23/09/1987,27.5402
30/09/1987,27.9737
07/10/1987,28.0652
14/10/1987,28.2993
21/10/1987,28.5533
28/10/1987,28.7551
04/11/1987,29.0446
11/11/1987,29.5679
18/11/1987,29.5372
25/11/1987,29.7116
02/12/1987,29.8846
09/12/1987,30.0421
16/12/1987,30.3384
23/12/1987,30.7483
30/12/1987,31.4641
06/01/1988,31.4271
13/01/1988,31.735
20/01/1988,31.8634
27/01/1988,32.0443
03/02/1988,32.1395
10/02/1988,32.3625
17/02/1988,32.4854
24/02/1988,32.5145
02/03/1988,32.7134
09/03/1988,32.8974
16/03/1988,32.9362
23/03/1988,33.057
30/03/1988,33.172
06/04/1988,33.6278
13/04/1988,33.5842
20/04/1988,33.8012
27/04/1988,34.0343
04/05/1988,34.2609
11/05/1988,34.4609
18/05/1988,34.5771
25/05/1988,34.7637
01/06/1988,34.9426
08/06/1988,35.1335
15/06/1988,35.2954
22/06/1988,35.4907
29/06/1988,35.7025
06/07/1988,35.8165
13/07/1988,35.9251
20/07/1988,36.1105
27/07/1988,36.3274
03/08/1988,36.5899
10/08/1988,36.7745
17/08/1988,37.0512
24/08/1988,37.2692
31/08/1988,37.5022
07/09/1988,37.6445
14/09/1988,38.0728
21/09/1988,38.4337
28/09/1988,38.5751
05/10/1988,38.9387
12/10/1988,39.1267
19/10/1988,39.2647
26/10/1988,39.4831
02/11/1988,39.8567
09/11/1988,40.0449
16/11/1988,40.2695
23/11/1988,40.5958
30/11/1988,40.7908
07/12/1988,40.8807
14/12/1988,41.0525
21/12/1988,41.3088
28/12/1988,41.296
04/01/1989,41.9778
11/01/1989,42.0322
18/01/1989,42.1784
25/01/1989,42.1621
01/02/1989,42.4219
08/02/1989,42.8881
15/02/1989,43.0026
22/02/1989,43.3294
01/03/1989,43.5865
08/03/1989,43.7396
15/03/1989,44.0079
22/03/1989,44.1768
29/03/1989,44.4376
05/04/1989,44.4561
12/04/1989,44.6363
19/04/1989,44.8355
26/04/1989,45.1437
03/05/1989,45.3073
10/05/1989,45.6131
17/05/1989,45.7239
24/05/1989,45.9357
31/05/1989,46.0862
07/06/1989,46.3197
14/06/1989,46.5072
21/06/1989,46.7089
28/06/1989,47.0536
05/07/1989,47.1029
12/07/1989,47.3797
19/07/1989,47.6371
26/07/1989,47.6742
02/08/1989,47.8745
09/08/1989,48.1272
16/08/1989,48.3454
23/08/1989,48.5144
30/08/1989,48.6844
06/09/1989,48.8073
13/09/1989,48.9564
20/09/1989,49.2131
27/09/1989,49.3635
04/10/1989,49.1274
11/10/1989,49.3562
18/10/1989,49.609
25/10/1989,49.806
01/11/1989,50.073
08/11/1989,50.1928
15/11/1989,50.4212
22/11/1989,50.6663
29/11/1989,50.8131
06/12/1989,51.0642
13/12/1989,51.3529
20/12/1989,51.4568
27/12/1989,51.6537
03/01/1990,52.0273
10/01/1990,52.278
17/01/1990,52.403
24/01/1990,52.572
31/01/1990,52.818
07/02/1990,52.9232
14/02/1990,53.0753
21/02/1990,53.241
28/02/1990,53.2725
07/03/1990,53.598
14/03/1990,53.8935
21/03/1990,54.0895
28/03/1990,54.1774
04/04/1990,54.2056
11/04/1990,54.5822
18/04/1990,54.8394
25/04/1990,55.1566
02/05/1990,55.2862
09/05/1990,55.4424
16/05/1990,55.7355
23/05/1990,56.0009
30/05/1990,56.2457
06/06/1990,56.519
13/06/1990,56.6492
20/06/1990,56.894
27/06/1990,57.1219
04/07/1990,57.2189
11/07/1990,57.5997
18/07/1990,57.8743
25/07/1990,58.3796
01/08/1990,58.6243
08/08/1990,58.8065
15/08/1990,59.005
22/08/1990,59.2954
29/08/1990,59.3572
05/09/1990,59.4607
12/09/1990,59.7162
19/09/1990,59.6928
26/09/1990,60.226
03/10/1990,60.8229
10/10/1990,61.0096
17/10/1990,61.5703
24/10/1990,62.0354
31/10/1990,62.2198
07/11/1990,62.3271
14/11/1990,62.4576
21/11/1990,62.6914
28/11/1990,62.8002
05/12/1990,63.3587
12/12/1990,63.0453
19/12/1990,63.4716
26/12/1990,63.6657
02/01/1991,63.7268
09/01/1991,63.8071
16/01/1991,64.0982
23/01/1991,64.2387
30/01/1991,64.3958
06/02/1991,64.4337
13/02/1991,65.1579
20/02/1991,65.4593
27/02/1991,65.6913
06/03/1991,65.8281
13/03/1991,66.0464
20/03/1991,66.2486
27/03/1991,66.4248
03/04/1991,66.5608
10/04/1991,66.7232
17/04/1991,66.9073
24/04/1991,66.7414
01/05/1991,66.8718
08/05/1991,67.0041
15/05/1991,67.1585
22/05/1991,67.3314
29/05/1991,67.541
05/06/1991,68.0863
12/06/1991,68.1342
19/06/1991,68.0158
