DATE,GDP_inflat_adj
01/01/1947,2034.45
01/04/1947,2029.024
01/07/1947,2024.834
01/10/1947,2056.508
01/01/1948,2087.442
01/04/1948,2121.899
01/07/1948,2134.056
01/10/1948,2136.44
01/01/1949,2107.001
01/04/1949,2099.814
01/07/1949,2121.493
01/10/1949,2103.688
01/01/1950,2186.365
01/04/1950,2253.045
01/07/1950,2340.112
01/10/1950,2384.92
01/01/1951,2417.311
01/04/1951,2459.196
01/07/1951,2509.88
01/10/1951,2515.408
01/01/1952,2542.286
01/04/1952,2547.762
01/07/1952,2566.153
01/10/1952,2650.431
01/01/1953,2699.699
01/04/1953,2720.566
01/07/1953,2705.258
01/10/1953,2664.302
01/01/1954,2651.566
01/04/1954,2654.456
01/07/1954,2684.434
01/10/1954,2736.96
01/01/1955,2815.134
01/04/1955,2860.942
01/07/1955,2899.578
01/10/1955,2916.985
01/01/1956,2905.656
01/04/1956,2929.666
01/07/1956,2927.034
01/10/1956,2975.209
01/01/1957,2994.259
01/04/1957,2987.699
01/07/1957,3016.979
01/10/1957,2985.775
01/01/1958,2908.281
01/04/1958,2927.395
01/07/1958,2995.112
01/10/1958,3065.141
01/01/1959,3123.978
01/04/1959,3194.429
01/07/1959,3196.683
01/10/1959,3205.79
01/01/1960,3277.847
01/04/1960,3260.177
01/07/1960,3276.133
01/10/1960,3234.087
01/01/1961,3255.914
01/04/1961,3311.181
01/07/1961,3374.742
01/10/1961,3440.924
01/01/1962,3502.298
01/04/1962,3533.947
01/07/1962,3577.362
01/10/1962,3589.128
01/01/1963,3628.306
01/04/1963,3669.02
01/07/1963,3749.681
01/10/1963,3774.264
01/01/1964,3853.835
01/04/1964,3895.793
01/07/1964,3956.657
01/10/1964,3968.878
01/01/1965,4064.915
01/04/1965,4116.267
01/07/1965,4207.782
01/10/1965,4304.731
01/01/1966,4409.518
01/04/1966,4424.581
01/07/1966,4462.053
01/10/1966,4498.66
01/01/1967,4538.498
01/04/1967,4541.28
01/07/1967,4584.246
01/10/1967,4618.812
01/01/1968,4713.013
01/04/1968,4791.758
01/07/1968,4828.892
01/10/1968,4847.885
01/01/1969,4923.76
01/04/1969,4938.728
01/07/1969,4971.349
01/10/1969,4947.104
01/01/1970,4939.759
01/04/1970,4946.77
01/07/1970,4992.357
01/10/1970,4938.857
01/01/1971,5072.996
01/04/1971,5100.447
01/07/1971,5142.422
01/10/1971,5154.547
01/01/1972,5249.337
01/04/1972,5368.485
01/07/1972,5419.184
01/10/1972,5509.926
01/01/1973,5646.286
01/04/1973,5707.755
01/07/1973,5677.738
01/10/1973,5731.632
01/01/1974,5682.353
01/04/1974,5695.859
01/07/1974,5642.025
01/10/1974,5620.126
01/01/1975,5551.713
01/04/1975,5591.382
01/07/1975,5687.087
01/10/1975,5763.665
01/01/1976,5893.276
01/04/1976,5936.515
01/07/1976,5969.089
01/10/1976,6012.356
01/01/1977,6083.391
01/04/1977,6201.659
01/07/1977,6313.559
01/10/1977,6313.697
01/01/1978,6333.848
01/04/1978,6578.605
01/07/1978,6644.754
01/10/1978,6734.069
01/01/1979,6746.176
01/04/1979,6753.389
01/07/1979,6803.558
01/10/1979,6820.572
01/01/1980,6842.024
01/04/1980,6701.046
01/07/1980,6693.082
01/10/1980,6817.903
01/01/1981,6951.495
01/04/1981,6899.98
01/07/1981,6982.609
01/10/1981,6906.529
01/01/1982,6799.233
01/04/1982,6830.251
01/07/1982,6804.139
01/10/1982,6806.857
01/01/1983,6896.561
01/04/1983,7053.5
01/07/1983,7194.504
01/10/1983,7344.597
01/01/1984,7488.167
01/04/1984,7617.547
01/07/1984,7690.985
01/10/1984,7754.117
01/01/1985,7829.26
01/04/1985,7898.194
01/07/1985,8018.809
01/10/1985,8078.415
01/01/1986,8153.829
01/04/1986,8190.552
01/07/1986,8268.935
01/10/1986,8313.338
01/01/1987,8375.274
01/04/1987,8465.63
01/07/1987,8539.075
01/10/1987,8685.694
01/01/1988,8730.569
01/04/1988,8845.28
01/07/1988,8897.107
01/10/1988,9015.661
01/01/1989,9107.314
01/04/1989,9176.827
01/07/1989,9244.816
01/10/1989,9263.033
01/01/1990,9364.259
01/04/1990,9398.243
01/07/1990,9404.494
01/10/1990,9318.876
01/01/1991,9275.276
01/04/1991,9347.597
01/07/1991,9394.834
01/10/1991,9427.581
01/01/1992,9540.444
01/04/1992,9643.893
01/07/1992,9739.185
01/10/1992,9840.753
01/01/1993,9857.185
01/04/1993,9914.565
01/07/1993,9961.873
01/10/1993,10097.362
01/01/1994,10195.338
01/04/1994,10333.495
01/07/1994,10393.898
01/10/1994,10512.962
01/01/1995,10550.251
01/04/1995,10581.723
01/07/1995,10671.738
01/10/1995,10744.203
01/01/1996,10824.674
01/04/1996,11005.217
01/07/1996,11103.935
01/10/1996,11219.238
01/01/1997,11291.665
01/04/1997,11479.33
01/07/1997,11622.911
01/10/1997,11722.722
01/01/1998,11839.876
01/04/1998,11949.492
01/07/1998,12099.191
01/10/1998,12294.737
01/01/1999,12410.778
01/04/1999,12514.408
01/07/1999,12679.977
01/10/1999,12888.281
01/01/2000,12935.252
01/04/2000,13170.749
01/07/2000,13183.89
01/10/2000,13262.25
01/01/2001,13219.251
01/04/2001,13301.394
01/07/2001,13248.142
01/10/2001,13284.881
01/01/2002,13394.91
01/04/2002,13477.356
01/07/2002,13531.741
01/10/2002,13549.421
01/01/2003,13619.434
01/04/2003,13741.107
01/07/2003,13970.157
01/10/2003,14131.379
01/01/2004,14212.34
01/04/2004,14323.017
01/07/2004,14457.832
