DATE,st_consumer_price_idx
01/01/1967,0.24883
01/02/1967,0.3195
01/03/1967,0.02967
01/04/1967,0.31966
01/05/1967,0.28525
01/06/1967,0.2912
01/07/1967,0.33678
01/08/1967,0.29795
01/09/1967,0.23618
01/10/1967,0.36421
01/11/1967,0.39309
01/12/1967,0.31685
01/01/1968,0.46501
01/02/1968,0.34517
01/03/1968,0.4605
01/04/1968,0.30354
01/05/1968,0.25199
01/06/1968,0.70233
01/07/1968,0.51008
01/08/1968,0.48351
01/09/1968,0.23316
01/10/1968,0.58758
01/11/1968,0.5526
01/12/1968,0.58171
01/01/1969,0.47095
01/02/1969,0.34481
01/03/1969,0.7704
01/04/1969,0.65007
01/05/1969,0.4841
01/06/1969,0.38082
01/07/1969,0.53369
01/08/1969,0.5103
01/09/1969,0.61182
01/10/1969,0.39512
01/11/1969,0.48854
01/12/1969,0.57145
01/01/1970,0.69492
01/02/1970,0.74482
01/03/1970,0.7491
01/04/1970,0.54606
01/05/1970,0.59521
01/06/1970,0.49853
01/07/1970,0.40369
01/08/1970,0.58085
01/09/1970,0.55044
01/10/1970,0.31782
01/11/1970,0.69183
01/12/1970,0.54251
01/01/1971,0.45066
01/02/1971,0.14831
01/03/1971,0.0382
01/04/1971,0.31451
01/05/1971,0.37246
01/06/1971,0.68402
01/07/1971,0.32684
01/08/1971,0.37332
01/09/1971,0.3391
01/10/1971,0.0598
01/11/1971,0.30278
01/12/1971,0.31166
01/01/1972,0.41653
01/02/1972,0.21808
01/03/1972,0.23777
01/04/1972,0.25204
01/05/1972,0.25711
01/06/1972,0.31978
01/07/1972,0.31433
01/08/1972,0.2857
01/09/1972,0.13167
01/10/1972,0.22693
01/11/1972,0.26072
01/12/1972,0.22246
01/01/1973,0.16175
01/02/1973,0.29682
01/03/1973,0.28941
01/04/1973,0.35744
01/05/1973,0.4776
01/06/1973,0.33368
01/07/1973,0.26612
01/08/1973,0.57788
01/09/1973,0.81548
01/10/1973,1.06692
01/11/1973,0.48382
01/12/1973,0.602
01/01/1974,0.6565
01/02/1974,0.68527
01/03/1974,0.72455
01/04/1974,0.67741
01/05/1974,0.96397
01/06/1974,1.0796
01/07/1974,1.08764
01/08/1974,1.11583
01/09/1974,1.11949
01/10/1974,0.99197
01/11/1974,0.78548
01/12/1974,1.01574
01/01/1975,0.81962
01/02/1975,0.79668
01/03/1975,0.53385
01/04/1975,0.65849
01/05/1975,0.27444
01/06/1975,0.60794
01/07/1975,0.46225
01/08/1975,0.3753
01/09/1975,0.78695
01/10/1975,0.63146
01/11/1975,0.77219
01/12/1975,0.62189
01/01/1976,0.74707
01/02/1976,0.48106
01/03/1976,0.50718
01/04/1976,0.268
01/05/1976,0.39175
01/06/1976,0.54871
01/07/1976,0.67041
01/08/1976,0.55412
01/09/1976,0.5587
01/10/1976,0.42564
01/11/1976,0.50422
01/12/1976,0.29614
01/01/1977,0.59488
01/02/1977,0.4798
01/03/1977,0.56386
01/04/1977,0.72915
01/05/1977,0.57923
01/06/1977,0.71279
01/07/1977,0.63867
01/08/1977,0.52317
01/09/1977,0.57984
01/10/1977,0.49562
01/11/1977,0.57493
01/12/1977,0.58618
01/01/1978,0.63642
01/02/1978,0.53485
01/03/1978,0.66535
01/04/1978,0.69705
01/05/1978,0.77679
01/06/1978,0.78402
01/07/1978,0.85092
01/08/1978,0.78954
01/09/1978,0.93873
01/10/1978,0.89281
01/11/1978,0.7336
01/12/1978,0.47953
01/01/1979,0.6804
01/02/1979,0.97056
01/03/1979,0.77941
