DATE,exports (million USD)
01/01/1987,17345.9
01/02/1987,18853.9
01/03/1987,21835.5
01/04/1987,20677.7
01/05/1987,20759.5
01/06/1987,21636.7
01/07/1987,21379
01/08/1987,20079.1
01/09/1987,21183.7
01/10/1987,22777.8
01/11/1987,23278.7
01/12/1987,24314.4
01/01/1988,23161.6
01/02/1988,24315.6
01/03/1988,29342.8
01/04/1988,26727.8
01/05/1988,28192.7
01/06/1988,26802.5
01/07/1988,25186.4
01/08/1988,26539
01/09/1988,27066.6
01/10/1988,28544.1
01/11/1988,27565.2
01/12/1988,28982.1
01/01/1989,27540.8
01/02/1989,27926.6
01/03/1989,33243.3
01/04/1989,31052.4
01/05/1989,31495.7
01/06/1989,31820.4
01/07/1989,28707.7
01/08/1989,29405.9
01/09/1989,29709.5
01/10/1989,31756.2
01/11/1989,30279
01/12/1989,30874
01/01/1990,30664.1
01/02/1990,30961.8
01/03/1990,35970.6
01/04/1990,32617.1
01/05/1990,33538.7
01/06/1990,34470.2
01/07/1990,30736.2
01/08/1990,31722.9
01/09/1990,31444.3
01/10/1990,35310.3
01/11/1990,33267
01/12/1990,32889
01/01/1991,33165
01/02/1991,32774.7
01/03/1991,36819.8
01/04/1991,36137
01/05/1991,36023.6
01/06/1991,35479.8
01/07/1991,33443.9
01/08/1991,33632.7
01/09/1991,34391.3
01/10/1991,37896.5
01/11/1991,36969.6
01/12/1991,34996.1
01/01/1992,34514.3
01/02/1992,36897.5
01/03/1992,39816.9
01/04/1992,37153.4
01/05/1992,36736.5
01/06/1992,39094.6
01/07/1992,35979.2
01/08/1992,34838.2
01/09/1992,36811.6
01/10/1992,40115.1
01/11/1992,37670.5
01/12/1992,38536.7
01/01/1993,35957.9
01/02/1993,36070.4
01/03/1993,41998.5
01/04/1993,39420.5
01/05/1993,39869.7
01/06/1993,38623.3
01/07/1993,35464.2
01/08/1993,36876.3
01/09/1993,37955.5
01/10/1993,41147.6
01/11/1993,40293.8
01/12/1993,41412.2
01/01/1994,37560.5
01/02/1994,37125.6
01/03/1994,46138.6
01/04/1994,41586.9
01/05/1994,42215.3
01/06/1994,43424
01/07/1994,39218.1
01/08/1994,43589
01/09/1994,43766.5
01/10/1994,45313.6
01/11/1994,45673.7
01/12/1994,47013.3
01/01/1995,43632.2
01/02/1995,44997.8
01/03/1995,52579.2
01/04/1995,47807.7
01/05/1995,49854.9
01/06/1995,49392.2
01/07/1995,44389.3
01/08/1995,48972.2
01/09/1995,49723.5
01/10/1995,51828.1
01/11/1995,50710.3
01/12/1995,50853
01/01/1996,47767.8
01/02/1996,51112.5
01/03/1996,54951.7
01/04/1996,51871.8
01/05/1996,53358.9
01/06/1996,51821.5
01/07/1996,47597.3
01/08/1996,51574.4
01/09/1996,50598.1
01/10/1996,56107.1
01/11/1996,55016.4
01/12/1996,53295.8
01/01/1997,50590.1
01/02/1997,53152.9
01/03/1997,61200.9
01/04/1997,58179.8
01/05/1997,58738.4
01/06/1997,58048.2
01/07/1997,54910
01/08/1997,56660.9
01/09/1997,57470.4
01/10/1997,62401.8
01/11/1997,58162.9
01/12/1997,59663.7
01/01/1998,55171.5
01/02/1998,55233.2
01/03/1998,62297.9
01/04/1998,56674.4
01/05/1998,56672.7
01/06/1998,56994.6
