DATE,imports (million USD)
01/01/1987,30798.5
01/02/1987,29810.3
01/03/1987,32464.3
01/04/1987,32291.1
01/05/1987,33170
01/06/1987,35358
01/07/1987,35809.9
01/08/1987,33826.2
01/09/1987,33667.5
01/10/1987,38075.6
01/11/1987,35210.9
01/12/1987,35758.7
01/01/1988,33035.4
01/02/1988,35494.1
01/03/1988,36998.7
01/04/1988,34961.1
01/05/1988,36107.5
01/06/1988,38540.8
01/07/1988,35397.3
01/08/1988,37545.4
01/09/1988,36303.6
01/10/1988,38795.2
01/11/1988,38389.3
01/12/1988,39383.9
01/01/1989,36179.3
01/02/1989,36548.8
01/03/1989,40196.9
01/04/1989,38243.2
01/05/1989,40958.6
01/06/1989,40544.2
01/07/1989,39290
01/08/1989,40440.1
01/09/1989,38680.1
01/10/1989,43536.2
01/11/1989,41033
01/12/1989,37560.5
01/01/1990,40303.8
01/02/1990,37111.9
01/03/1990,42339.3
01/04/1990,39143.9
01/05/1990,40846.3
01/06/1990,40946.2
01/07/1990,41495.1
01/08/1990,42231.8
01/09/1990,40601.5
01/10/1990,47394.8
01/11/1990,43795.9
01/12/1990,39100.1
01/01/1991,40243.7
01/02/1991,36975.9
01/03/1991,38708.3
01/04/1991,39547.7
01/05/1991,40181.3
01/06/1991,39428.2
01/07/1991,41337.8
01/08/1991,41082.4
01/09/1991,41501.9
01/10/1991,46631
01/11/1991,41911.2
01/12/1991,40903.7
01/01/1992,39984.9
01/02/1992,39075
01/03/1992,43343.9
01/04/1992,42924.3
01/05/1992,42146
01/06/1992,45811.5
01/07/1992,45872.4
01/08/1992,45055
01/09/1992,46502.8
01/10/1992,49820.2
01/11/1992,46313.2
01/12/1992,45812.5
01/01/1993,42057.7
01/02/1993,41816.7
01/03/1993,50744.6
01/04/1993,47850.1
01/05/1993,46330
01/06/1993,50361.4
01/07/1993,48316.8
01/08/1993,48610.1
01/09/1993,50526.8
01/10/1993,53889.3
01/11/1993,51433.5
01/12/1993,48719.2
01/01/1994,46514.1
01/02/1994,46653.7
01/03/1994,54662.7
01/04/1994,51471.7
01/05/1994,52986.7
01/06/1994,57138.9
01/07/1994,54806.9
01/08/1994,59303.5
01/09/1994,58879.4
01/10/1994,61969.8
01/11/1994,61334
01/12/1994,57530.4
01/01/1995,57292.9
01/02/1995,55217.1
01/03/1995,63583.6
01/04/1995,59792.7
01/05/1995,63198.4
01/06/1995,64090.5
01/07/1995,61856.7
01/08/1995,64452.1
01/09/1995,63416
01/10/1995,67389.6
01/11/1995,63576.5
01/12/1995,59678.9
01/01/1996,61909.4
01/02/1996,60579.5
01/03/1996,63363.3
01/04/1996,64663.4
01/05/1996,66856.9
01/06/1996,64195.8
01/07/1996,67681.5
01/08/1996,68025.4
01/09/1996,68308.8
01/10/1996,74117.3
01/11/1996,68015.4
01/12/1996,67569.9
01/01/1997,67271.9
01/02/1997,65090.4
01/03/1997,70606.1
01/04/1997,71168.9
01/05/1997,71430.4
01/06/1997,71575.5
01/07/1997,74815.3
01/08/1997,72925.3
01/09/1997,76750.9
01/10/1997,81348.6
01/11/1997,72049.4
01/12/1997,74670.3
01/01/1998,70223.9
01/02/1998,68394
01/03/1998,78095.7
01/04/1998,75743.9
01/05/1998,73997.7
01/06/1998,76918.1
01/07/1998,76336.4
01/08/1998,76014
01/09/1998,78434.7
01/10/1998,83711.4
01/11/1998,78020.1
01/12/1998,76006.8
01/01/1999,71766.3
01/02/1999,73848.6
01/03/1999,84071.9
01/04/1999,79979.8
01/05/1999,80964.8
01/06/1999,87878.9
01/07/1999,86775.4
01/08/1999,89748.3
01/09/1999,90244.9
01/10/1999,94460
01/11/1999,93580.1
01/12/1999,91296.5
01/01/2000,87187.8
01/02/2000,91687.7
01/03/2000,103244.5
01/04/2000,95141.1
01/05/2000,101067.5
01/06/2000,104526.5
01/07/2000,101986.6
01/08/2000,108166.7
01/09/2000,106355.1
01/10/2000,113812.5
01/11/2000,106394.5
01/12/2000,98452.1
01/01/2001,101869.1
