DATE,inflation
01/01/1914,2
01/02/1914,1
01/03/1914,1
01/04/1914,0
01/05/1914,2.1
01/06/1914,1
01/07/1914,1
01/08/1914,3
01/09/1914,2
01/10/1914,1
01/11/1914,1
01/12/1914,1
01/01/1915,1
01/02/1915,1
01/03/1915,0
01/04/1915,2
01/05/1915,2
01/06/1915,2
01/07/1915,1
01/08/1915,-1
01/09/1915,-1
01/10/1915,1
01/11/1915,1
01/12/1915,2
01/01/1916,3
01/02/1916,4
01/03/1916,6.1
01/04/1916,6
01/05/1916,5.9
01/06/1916,6.9
01/07/1916,6.9
01/08/1916,7.9
01/09/1916,9.9
01/10/1916,10.8
01/11/1916,11.7
01/12/1916,12.6
01/01/1917,12.5
01/02/1917,15.4
01/03/1917,14.3
01/04/1917,18.9
01/05/1917,19.6
01/06/1917,20.4
01/07/1917,18.5
01/08/1917,19.3
01/09/1917,19.8
01/10/1917,19.5
01/11/1917,17.4
01/12/1917,18.1
01/01/1918,19.7
01/02/1918,17.5
01/03/1918,16.7
01/04/1918,12.7
01/05/1918,13.3
01/06/1918,13.1
01/07/1918,18
01/08/1918,18.5
01/09/1918,18
01/10/1918,18.5
01/11/1918,20.7
01/12/1918,20.4
01/01/1919,17.9
01/02/1919,14.9
01/03/1919,17.1
01/04/1919,17.6
01/05/1919,16.6
01/06/1919,15
01/07/1919,15.2
01/08/1919,14.9
01/09/1919,13.4
01/10/1919,13.1
01/11/1919,13.5
01/12/1919,14.5
01/01/1920,17
01/02/1920,20.4
01/03/1920,20.1
01/04/1920,21.6
01/05/1920,21.9
01/06/1920,23.7
01/07/1920,19.5
01/08/1920,14.7
01/09/1920,12.4
01/10/1920,9.9
01/11/1920,7
01/12/1920,2.6
01/01/1921,-1.6
01/02/1921,-5.6
01/03/1921,-7.1
01/04/1921,-10.8
01/05/1921,-14.1
01/06/1921,-15.8
01/07/1921,-14.9
01/08/1921,-12.8
01/09/1921,-12.5
01/10/1921,-12.1
01/11/1921,-12.1
01/12/1921,-10.8
01/01/1922,-11.1
01/02/1922,-8.2
01/03/1922,-8.7
01/04/1922,-7.7
01/05/1922,-5.6
01/06/1922,-5.1
01/07/1922,-5.1
01/08/1922,-6.2
01/09/1922,-5.1
01/10/1922,-4.6
01/11/1922,-3.4
01/12/1922,-2.3
01/01/1923,-0.6
01/02/1923,-0.6
01/03/1923,0.6
01/04/1923,1.2
01/05/1923,1.2
01/06/1923,1.8
01/07/1923,2.4
01/08/1923,3
01/09/1923,3.6
01/10/1923,3.6
01/11/1923,3
01/12/1923,2.4
01/01/1924,3
01/02/1924,2.4
01/03/1924,1.8
01/04/1924,0.6
01/05/1924,0.6
01/06/1924,0
01/07/1924,-0.6
01/08/1924,-0.6
01/09/1924,-0.6
01/10/1924,-0.6
01/11/1924,-0.6
01/12/1924,0
